,Order Number,SmartPartNumber,EndOfPourTimeStamp,Line,Blend,Type,Height,Construction,Color,Thickness,Outside Skin,Outside Treatment,Outside Grooving,Inside Skin,Inside Grooving,Length,End Stiles,Backer Stile Placement,weekday,year,month,hour,time
13,H000666822-1,B24UB-81NV-7V-1402DD-NNNNN-NXL,2019-10-28 18:00:00,1,7,B,24,U,B,8,1,N,V,7,V,1402,D,D,0,2019,10,18,18:00:00
14,H000666822-1,I24UB-81NV-7V-1402DD-NNNNN-NXN,2019-10-28 18:00:00,1,7,I,24,U,B,8,1,N,V,7,V,1402,D,D,0,2019,10,18,18:00:00
15,H000666822-1,I24UB-81NV-7V-1402DD-NNNNN-NXN,2019-10-28 18:00:00,1,7,I,24,U,B,8,1,N,V,7,V,1402,D,D,0,2019,10,18,18:00:00
16,H000666822-1,I24UB-81NV-7V-1402DD-NNNNN-NXN,2019-10-28 19:15:00,1,7,I,24,U,B,8,1,N,V,7,V,1402,D,D,0,2019,10,19,19:15:00
17,H000666822-1,I24UB-81NV-7V-1402DD-NNNNN-NXN,2019-10-28 19:15:00,1,7,I,24,U,B,8,1,N,V,7,V,1402,D,D,0,2019,10,19,19:15:00
18,H000666822-1,I24UB-81NV-7V-1402DD-NNNNN-NXN,2019-10-28 19:15:00,1,7,I,24,U,B,8,1,N,V,7,V,1402,D,D,0,2019,10,19,19:15:00
19,H000666822-1,T24UB-81NV-7V-1402DD-NNNNN-NXT,2019-10-28 19:45:00,1,7,T,24,U,B,8,1,N,V,7,V,1402,D,D,0,2019,10,19,19:45:00
20,H000672731-1,B21UQ-T1NN-7V-1600SJ-01L11-NIL,2019-11-13 07:30:00,1,7,B,21,U,Q,T,1,N,N,7,V,1600,S,J,2,2019,11,7,07:30:00
21,H000672731-1,I21UQ-T1NN-7V-1600SJ-01L11-NIN,2019-11-13 07:30:00,1,7,I,21,U,Q,T,1,N,N,7,V,1600,S,J,2,2019,11,7,07:30:00
22,H000672731-1,I21UQ-T1NN-7V-1600SJ-01L11-NIN,2019-11-13 07:30:00,1,7,I,21,U,Q,T,1,N,N,7,V,1600,S,J,2,2019,11,7,07:30:00
23,H000672731-1,T21UQ-T1NN-7V-1600SJ-01L11-NIN,2019-11-13 07:45:00,1,7,T,21,U,Q,T,1,N,N,7,V,1600,S,J,2,2019,11,7,07:45:00
24,H000719013-2,B24UK-T1NN-7V-1802DK-NNNNN-NXL,2020-05-21 15:30:00,2,7,B,24,U,K,T,1,N,N,7,V,1802,D,K,3,2020,5,15,15:30:00
25,H000719013-2,I24UK-T1NN-7V-1802DK-NNNNN-NXN,2020-05-21 15:30:00,2,7,I,24,U,K,T,1,N,N,7,V,1802,D,K,3,2020,5,15,15:30:00
26,H000719013-2,I24UK-T1NN-7V-1802DK-NNNNN-NXN,2020-05-21 15:30:00,2,7,I,24,U,K,T,1,N,N,7,V,1802,D,K,3,2020,5,15,15:30:00
27,H000719013-2,T24UK-T1NN-7V-1802DK-04C00-N4A,2020-05-21 15:30:00,2,7,T,24,U,K,T,1,N,N,7,V,1802,D,K,3,2020,5,15,15:30:00
28,H000741135-1,B21UB-T1NN-7V-1600NJ-NNNNN-NXL,2020-07-16 18:15:00,2,7,B,21,U,B,T,1,N,N,7,V,1600,N,J,3,2020,7,18,18:15:00
29,H000741135-1,I21UB-T1NN-7V-1600NJ-NNNNN-NXN,2020-07-16 18:00:00,2,7,I,21,U,B,T,1,N,N,7,V,1600,N,J,3,2020,7,18,18:00:00
30,H000741135-1,I21UB-T1NN-7V-1600NJ-NNNNN-NXN,2020-07-16 18:00:00,2,7,I,21,U,B,T,1,N,N,7,V,1600,N,J,3,2020,7,18,18:00:00
31,H000741135-1,T21UB-T1NN-7V-1600NJ-04C00-D4A,2020-07-16 18:00:00,2,7,T,21,U,B,T,1,N,N,7,V,1600,N,J,3,2020,7,18,18:00:00
32,H000768723-1,B24UK-T1NN-7V-1402SL-NNNNN-NXL,2020-09-25 01:45:00,2,7,B,24,U,K,T,1,N,N,7,V,1402,S,L,4,2020,9,1,01:45:00
33,H000768723-1,I24UK-T1NN-7V-1402SL-NNNNN-NXN,2020-09-25 01:45:00,2,7,I,24,U,K,T,1,N,N,7,V,1402,S,L,4,2020,9,1,01:45:00
34,H000768723-1,I24UK-T1NN-7V-1402SL-NNNNN-NXN,2020-09-25 01:45:00,2,7,I,24,U,K,T,1,N,N,7,V,1402,S,L,4,2020,9,1,01:45:00
35,H000768723-1,I24UK-T1NN-7V-1402SL-NNNNN-NXN,2020-09-25 01:45:00,2,7,I,24,U,K,T,1,N,N,7,V,1402,S,L,4,2020,9,1,01:45:00
36,H000768723-1,I24UK-T1NN-7V-1402SL-03C00-H4N,2020-09-25 01:45:00,2,7,I,24,U,K,T,1,N,N,7,V,1402,S,L,4,2020,9,1,01:45:00
37,H000768723-1,Z24UK-T1NN-7V-1402SX-NNNNN-NXN,2020-09-25 01:45:00,2,7,Z,24,U,K,T,1,N,N,7,V,1402,S,X,4,2020,9,1,01:45:00
38,H000768723-1,B24UK-T1NN-7V-1402SL-NNNNN-NXL,2020-09-25 01:30:00,2,7,B,24,U,K,T,1,N,N,7,V,1402,S,L,4,2020,9,1,01:30:00
39,H000768723-1,I24UK-T1NN-7V-1402SL-NNNNN-NXN,2020-09-25 01:30:00,2,7,I,24,U,K,T,1,N,N,7,V,1402,S,L,4,2020,9,1,01:30:00
40,H000768723-1,I24UK-T1NN-7V-1402SL-NNNNN-NXN,2020-09-25 01:30:00,2,7,I,24,U,K,T,1,N,N,7,V,1402,S,L,4,2020,9,1,01:30:00
41,H000768723-1,I24UK-T1NN-7V-1402SL-NNNNN-NXN,2020-09-25 01:30:00,2,7,I,24,U,K,T,1,N,N,7,V,1402,S,L,4,2020,9,1,01:30:00
42,H000768723-1,I24UK-T1NN-7V-1402SL-03C00-H4N,2020-09-25 01:30:00,2,7,I,24,U,K,T,1,N,N,7,V,1402,S,L,4,2020,9,1,01:30:00
43,H000768723-1,Z24UK-T1NN-7V-1402SX-NNNNN-NXN,2020-09-25 01:30:00,2,7,Z,24,U,K,T,1,N,N,7,V,1402,S,X,4,2020,9,1,01:30:00
44,H000768723-1,I24UK-T1NN-7V-1402SL-03C00-H4N,2020-09-25 17:45:00,1,7,I,24,U,K,T,1,N,N,7,V,1402,S,L,4,2020,9,17,17:45:00
45,H000779535-1,B24HS-61NN-7V-1600NT-NNNNN-NXL,2020-10-12 21:30:00,1,4,B,24,H,S,6,1,N,N,7,V,1600,N,T,0,2020,10,21,21:30:00
46,H000779535-1,I18HS-61NN-7V-1600NT-NNNNN-NXN,2020-10-12 18:00:00,1,4,I,18,H,S,6,1,N,N,7,V,1600,N,T,0,2020,10,18,18:00:00
47,H000779535-1,I18HS-61NN-7V-1600NT-NNNNN-NXN,2020-10-12 18:00:00,1,4,I,18,H,S,6,1,N,N,7,V,1600,N,T,0,2020,10,18,18:00:00
48,H000779535-1,T24HS-61NN-7V-1600NT-NNNNN-NXN,2020-10-13 02:15:00,1,4,T,24,H,S,6,1,N,N,7,V,1600,N,T,1,2020,10,2,02:15:00
49,H000779535-1,I18HS-61NN-7V-1600NT-NNNNN-NXN,2020-10-15 17:15:00,1,4,I,18,H,S,6,1,N,N,7,V,1600,N,T,3,2020,10,17,17:15:00
50,H000785436-1,B18UW-61NN-7V-0900NT-NNNNN-NXL,2020-11-03 18:30:00,1,6,B,18,U,W,6,1,N,N,7,V,0900,N,T,1,2020,11,18,18:30:00
51,H000785436-1,I18UW-61NN-7V-0900NT-NNNNN-NXN,2020-11-03 18:30:00,1,6,I,18,U,W,6,1,N,N,7,V,0900,N,T,1,2020,11,18,18:30:00
52,H000785436-1,I18UW-61NN-7V-0900NT-NNNNN-NXN,2020-11-03 18:30:00,1,6,I,18,U,W,6,1,N,N,7,V,0900,N,T,1,2020,11,18,18:30:00
53,H000785436-1,T24UW-61NN-7V-0900NT-02C00-N4N,2020-11-04 02:00:00,2,6,T,24,U,W,6,1,N,N,7,V,0900,N,T,2,2020,11,2,02:00:00
54,H000787698-1,B24HK-T1NV-7V-2002DD-NNNNN-NXL,2020-11-12 06:30:00,1,21,B,24,H,K,T,1,N,V,7,V,2002,D,D,3,2020,11,6,06:30:00
55,H000787698-1,I24HK-T1NV-7V-2002DD-NNNNN-NXN,2020-11-12 06:30:00,1,21,I,24,H,K,T,1,N,V,7,V,2002,D,D,3,2020,11,6,06:30:00
56,H000787698-1,I24HK-T1NV-7V-2002DD-NNNNN-NXN,2020-11-12 06:00:00,1,21,I,24,H,K,T,1,N,V,7,V,2002,D,D,3,2020,11,6,06:00:00
57,H000787698-1,I24HK-T1NV-7V-2002DD-NNNNN-NXN,2020-11-12 06:00:00,1,21,I,24,H,K,T,1,N,V,7,V,2002,D,D,3,2020,11,6,06:00:00
58,H000787698-1,I24HK-T1NV-7V-2002DD-NNNNN-NXN,2020-11-12 06:00:00,1,21,I,24,H,K,T,1,N,V,7,V,2002,D,D,3,2020,11,6,06:00:00
59,H000787698-1,I24HK-T1NV-7V-2002DD-NNNNN-NXN,2020-11-12 06:00:00,1,21,I,24,H,K,T,1,N,V,7,V,2002,D,D,3,2020,11,6,06:00:00
60,H000787698-1,I24UK-T1NV-7V-2002DD-06C00-NFN,2020-11-12 01:45:00,1,7,I,24,U,K,T,1,N,V,7,V,2002,D,D,3,2020,11,1,01:45:00
61,H000787698-1,T24UK-T1NV-7V-2002DD-NNNNN-NXT,2020-11-12 01:45:00,1,7,T,24,U,K,T,1,N,V,7,V,2002,D,D,3,2020,11,1,01:45:00
62,H000787698-2,B24HK-T1NV-7V-1602SS-NNNNN-NXL,2020-11-12 10:15:00,2,21,B,24,H,K,T,1,N,V,7,V,1602,S,S,3,2020,11,10,10:15:00
63,H000787698-2,I24HK-T1NV-7V-1602SS-NNNNN-NXN,2020-11-12 10:15:00,2,21,I,24,H,K,T,1,N,V,7,V,1602,S,S,3,2020,11,10,10:15:00
64,H000787698-2,I24HK-T1NV-7V-1602SS-NNNNN-NXN,2020-11-12 10:15:00,2,21,I,24,H,K,T,1,N,V,7,V,1602,S,S,3,2020,11,10,10:15:00
65,H000787698-2,I24HK-T1NV-7V-1602SS-NNNNN-NXN,2020-11-12 10:15:00,2,21,I,24,H,K,T,1,N,V,7,V,1602,S,S,3,2020,11,10,10:15:00
66,H000787698-2,I24HK-T1NV-7V-1602SS-NNNNN-NXN,2020-11-12 10:15:00,2,21,I,24,H,K,T,1,N,V,7,V,1602,S,S,3,2020,11,10,10:15:00
67,H000787698-2,I24HK-T1NV-7V-1602SS-NNNNN-NXN,2020-11-12 10:00:00,2,21,I,24,H,K,T,1,N,V,7,V,1602,S,S,3,2020,11,10,10:00:00
68,H000787698-2,I24HK-T1NV-7V-1602SS-04C00-NFN,2020-11-12 10:00:00,2,21,I,24,H,K,T,1,N,V,7,V,1602,S,S,3,2020,11,10,10:00:00
69,H000787698-2,T24HK-T1NV-7V-1602SS-NNNNN-NXT,2020-11-12 10:00:00,2,21,T,24,H,K,T,1,N,V,7,V,1602,S,S,3,2020,11,10,10:00:00
70,H000787698-2,B24HK-T1NV-7V-1602SS-NNNNN-NXL,2020-11-12 10:00:00,2,21,B,24,H,K,T,1,N,V,7,V,1602,S,S,3,2020,11,10,10:00:00
71,H000787698-2,I24HK-T1NV-7V-1602SS-NNNNN-NXN,2020-11-12 10:00:00,2,21,I,24,H,K,T,1,N,V,7,V,1602,S,S,3,2020,11,10,10:00:00
72,H000787698-2,I24HK-T1NV-7V-1602SS-NNNNN-NXN,2020-11-12 10:00:00,2,21,I,24,H,K,T,1,N,V,7,V,1602,S,S,3,2020,11,10,10:00:00
73,H000787698-2,I24HK-T1NV-7V-1602SS-NNNNN-NXN,2020-11-12 10:00:00,2,21,I,24,H,K,T,1,N,V,7,V,1602,S,S,3,2020,11,10,10:00:00
74,H000787698-2,I24HK-T1NV-7V-1602SS-NNNNN-NXN,2020-11-12 10:00:00,2,21,I,24,H,K,T,1,N,V,7,V,1602,S,S,3,2020,11,10,10:00:00
75,H000787698-2,I24HK-T1NV-7V-1602SS-NNNNN-NXN,2020-11-12 10:00:00,2,21,I,24,H,K,T,1,N,V,7,V,1602,S,S,3,2020,11,10,10:00:00
76,H000787698-2,I24HK-T1NV-7V-1602SS-04C00-NFN,2020-11-12 10:00:00,2,21,I,24,H,K,T,1,N,V,7,V,1602,S,S,3,2020,11,10,10:00:00
77,H000787698-2,T24HK-T1NV-7V-1602SS-NNNNN-NXT,2020-11-12 10:00:00,2,21,T,24,H,K,T,1,N,V,7,V,1602,S,S,3,2020,11,10,10:00:00
78,H000787698-3,B24HK-T1NV-7V-1002NS-NNNNN-NXL,2020-11-12 06:15:00,1,21,B,24,H,K,T,1,N,V,7,V,1002,N,S,3,2020,11,6,06:15:00
79,H000787698-3,I24HK-T1NV-7V-1002NS-NNNNN-NXN,2020-11-12 06:15:00,1,21,I,24,H,K,T,1,N,V,7,V,1002,N,S,3,2020,11,6,06:15:00
80,H000787698-3,I24HK-T1NV-7V-1002NS-NNNNN-NXN,2020-11-12 06:15:00,1,21,I,24,H,K,T,1,N,V,7,V,1002,N,S,3,2020,11,6,06:15:00
81,H000787698-3,I24HK-T1NV-7V-1002NS-02A01-NFN,2020-11-12 06:15:00,1,21,I,24,H,K,T,1,N,V,7,V,1002,N,S,3,2020,11,6,06:15:00
82,H000787698-3,T24HK-T1NV-7V-1002NS-NNNNN-NXN,2020-11-12 06:30:00,1,21,T,24,H,K,T,1,N,V,7,V,1002,N,S,3,2020,11,6,06:30:00
83,H000785996-1,B24HK-T1NV-7V-2105DD-NNNNN-NXL,2020-11-13 12:45:00,1,21,B,24,H,K,T,1,N,V,7,V,2105,D,D,4,2020,11,12,12:45:00
84,H000785996-1,I24HK-T1NV-7V-2105DD-NNNNN-NXN,2020-11-13 12:45:00,1,21,I,24,H,K,T,1,N,V,7,V,2105,D,D,4,2020,11,12,12:45:00
85,H000785996-1,I24HK-T1NV-7V-2105DD-NNNNN-NXN,2020-11-13 12:45:00,1,21,I,24,H,K,T,1,N,V,7,V,2105,D,D,4,2020,11,12,12:45:00
86,H000785996-1,I24HK-T1NV-7V-2105DD-NNNNN-NXN,2020-11-13 12:45:00,1,21,I,24,H,K,T,1,N,V,7,V,2105,D,D,4,2020,11,12,12:45:00
87,H000785996-1,I24HK-T1NV-7V-2105DD-NNNNN-NXN,2020-11-13 12:45:00,1,21,I,24,H,K,T,1,N,V,7,V,2105,D,D,4,2020,11,12,12:45:00
88,H000785996-1,I24HK-T1NV-7V-2105DD-06C00-NFN,2020-11-13 12:45:00,1,21,I,24,H,K,T,1,N,V,7,V,2105,D,D,4,2020,11,12,12:45:00
89,H000785996-1,T24HK-T1NV-7V-2105DD-NNNNN-NXT,2020-11-13 12:45:00,1,21,T,24,H,K,T,1,N,V,7,V,2105,D,D,4,2020,11,12,12:45:00
90,H000787698-1,T24HK-T1NV-7V-2002DD-NNNNN-NXT,2020-11-12 06:30:00,1,21,T,24,H,K,T,1,N,V,7,V,2002,D,D,3,2020,11,6,06:30:00
91,H000787698-1,I24HK-T1NV-7V-2002DD-NNNNN-NXN,2020-11-12 07:45:00,1,21,I,24,H,K,T,1,N,V,7,V,2002,D,D,3,2020,11,7,07:45:00
92,H000787698-3,I24HK-T1NV-7V-1002NS-NNNNN-NXN,2020-11-12 07:00:00,1,21,I,24,H,K,T,1,N,V,7,V,1002,N,S,3,2020,11,7,07:00:00
93,H000787698-1,B24HK-T1NV-7V-2002DD-NNNNN-NXL,2020-11-12 07:00:00,1,21,B,24,H,K,T,1,N,V,7,V,2002,D,D,3,2020,11,7,07:00:00
94,H000787698-3,T24HK-T1NV-7V-1002NS-NNNNN-NXN,2020-11-12 07:00:00,1,21,T,24,H,K,T,1,N,V,7,V,1002,N,S,3,2020,11,7,07:00:00
95,H000787698-1,I24HK-T1NV-7V-2002DD-NNNNN-NXN,2020-11-13 05:45:00,1,21,I,24,H,K,T,1,N,V,7,V,2002,D,D,4,2020,11,5,05:45:00
96,H000787698-2,I24HK-T1NV-7V-1602SS-NNNNN-NXN,2020-11-13 05:45:00,1,21,I,24,H,K,T,1,N,V,7,V,1602,S,S,4,2020,11,5,05:45:00
97,H000786879-1,B24H2-T1HN-7V-1002NS-NNNNN-NXL,2020-11-19 10:15:00,1,21,B,24,H,2,T,1,H,N,7,V,1002,N,S,3,2020,11,10,10:15:00
98,H000786879-1,I24H2-T1HN-7V-1002NS-NNNNN-NXN,2020-11-19 10:15:00,1,21,I,24,H,2,T,1,H,N,7,V,1002,N,S,3,2020,11,10,10:15:00
99,H000786879-1,I24H2-T1HN-7V-1002NS-NNNNN-NXN,2020-11-19 10:15:00,1,21,I,24,H,2,T,1,H,N,7,V,1002,N,S,3,2020,11,10,10:15:00
100,H000786879-1,T24H2-T1NN-7V-1002NL-02C00-N4N,2020-11-19 10:15:00,1,21,T,24,H,2,T,1,N,N,7,V,1002,N,L,3,2020,11,10,10:15:00
101,H000786879-1,B24H2-T1HN-7V-1002NS-NNNNN-NXL,2020-11-19 10:30:00,1,21,B,24,H,2,T,1,H,N,7,V,1002,N,S,3,2020,11,10,10:30:00
102,H000786879-1,I24H2-T1HN-7V-1002NS-NNNNN-NXN,2020-11-19 10:15:00,1,21,I,24,H,2,T,1,H,N,7,V,1002,N,S,3,2020,11,10,10:15:00
103,H000786879-1,I24H2-T1HN-7V-1002NS-NNNNN-NXN,2020-11-19 10:15:00,1,21,I,24,H,2,T,1,H,N,7,V,1002,N,S,3,2020,11,10,10:15:00
104,H000786879-1,T24H2-T1NN-7V-1002NL-02C00-N4N,2020-11-19 10:15:00,1,21,T,24,H,2,T,1,N,N,7,V,1002,N,L,3,2020,11,10,10:15:00
105,H000798435-1,Q24UK-61NN-7V-1602ST-NNNNN-NXL,2020-12-09 15:15:00,2,6,Q,24,U,K,6,1,N,N,7,V,1602,S,T,2,2020,12,15,15:15:00
106,H000798435-1,Q18UK-61NN-7V-1602ST-NNNNN-NXN,2020-12-09 19:30:00,1,6,Q,18,U,K,6,1,N,N,7,V,1602,S,T,2,2020,12,19,19:30:00
107,H000798435-1,Q18UK-61NN-7V-1602ST-NNNNN-NXN,2020-12-09 19:30:00,1,6,Q,18,U,K,6,1,N,N,7,V,1602,S,T,2,2020,12,19,19:30:00
108,H000798435-1,Q18UK-61NN-7V-1602ST-NNNNN-NXN,2020-12-09 19:30:00,1,6,Q,18,U,K,6,1,N,N,7,V,1602,S,T,2,2020,12,19,19:30:00
109,H000798435-1,Q18UK-61NN-7V-1602ST-NNNNN-NXN,2020-12-09 19:30:00,1,6,Q,18,U,K,6,1,N,N,7,V,1602,S,T,2,2020,12,19,19:30:00
110,H000798435-1,Q24UK-61NN-7V-1602ST-NNNNN-NXN,2020-12-09 15:15:00,2,6,Q,24,U,K,6,1,N,N,7,V,1602,S,T,2,2020,12,15,15:15:00
111,H000798435-1,Q24UK-61NN-7V-1602ST-NNNNN-NXL,2020-12-09 15:15:00,2,6,Q,24,U,K,6,1,N,N,7,V,1602,S,T,2,2020,12,15,15:15:00
112,H000798435-1,Q18UK-61NN-7V-1602ST-NNNNN-NXN,2020-12-09 19:30:00,1,6,Q,18,U,K,6,1,N,N,7,V,1602,S,T,2,2020,12,19,19:30:00
113,H000798435-1,Q18UK-61NN-7V-1602ST-NNNNN-NXN,2020-12-09 19:30:00,1,6,Q,18,U,K,6,1,N,N,7,V,1602,S,T,2,2020,12,19,19:30:00
114,H000798435-1,Q18UK-61NN-7V-1602ST-NNNNN-NXN,2020-12-09 19:30:00,1,6,Q,18,U,K,6,1,N,N,7,V,1602,S,T,2,2020,12,19,19:30:00
115,H000798435-1,Q18UK-61NN-7V-1602ST-NNNNN-NXN,2020-12-09 19:30:00,1,6,Q,18,U,K,6,1,N,N,7,V,1602,S,T,2,2020,12,19,19:30:00
116,H000798435-1,Q24UK-61NN-7V-1602ST-NNNNN-NXN,2020-12-09 15:15:00,2,6,Q,24,U,K,6,1,N,N,7,V,1602,S,T,2,2020,12,15,15:15:00
117,H000798435-2,Z24LK-71NN-7V-2402DZ-NNNNN-NXL,2020-12-10 05:45:00,1,25,Z,24,L,K,7,1,N,N,7,V,2402,D,Z,3,2020,12,5,05:45:00
118,H000798435-2,Z24LK-71NN-7V-2402DZ-NNNNN-NXX,2020-12-10 05:45:00,1,25,Z,24,L,K,7,1,N,N,7,V,2402,D,Z,3,2020,12,5,05:45:00
119,H000798435-2,Z24LK-71NN-7V-2402DZ-NNNNN-NXX,2020-12-10 05:45:00,1,25,Z,24,L,K,7,1,N,N,7,V,2402,D,Z,3,2020,12,5,05:45:00
120,H000798435-2,Z24LK-71NN-7V-2402DZ-NNNNN-NXX,2020-12-10 05:30:00,1,25,Z,24,L,K,7,1,N,N,7,V,2402,D,Z,3,2020,12,5,05:30:00
121,H000798435-2,Z18LK-71NN-7V-2402DZ-NNNNN-NXX,2020-12-11 07:45:00,1,25,Z,18,L,K,7,1,N,N,7,V,2402,D,Z,4,2020,12,7,07:45:00
122,H000798435-2,Z18LK-71NN-7V-2402DZ-NNNNN-NXX,2020-12-11 07:45:00,1,25,Z,18,L,K,7,1,N,N,7,V,2402,D,Z,4,2020,12,7,07:45:00
123,H000798435-2,Z18LK-71NN-7V-2402DZ-NNNNN-NXX,2020-12-11 07:30:00,1,25,Z,18,L,K,7,1,N,N,7,V,2402,D,Z,4,2020,12,7,07:30:00
124,H000798435-2,Z18LK-71NN-7V-2402DZ-NNNNN-NXX,2020-12-11 07:30:00,1,25,Z,18,L,K,7,1,N,N,7,V,2402,D,Z,4,2020,12,7,07:30:00
125,H000785117-1,B24LQ-61NN-7V-1800NT-NNNNN-NXL,2020-12-11 14:15:00,2,25,B,24,L,Q,6,1,N,N,7,V,1800,N,T,4,2020,12,14,14:15:00
126,H000785117-1,I24LQ-61NN-7V-1800NT-NNNNN-NXN,2020-12-11 14:15:00,2,25,I,24,L,Q,6,1,N,N,7,V,1800,N,T,4,2020,12,14,14:15:00
127,H000785117-1,I24LQ-61NN-7V-1800NT-NNNNN-NXN,2020-12-11 14:15:00,2,25,I,24,L,Q,6,1,N,N,7,V,1800,N,T,4,2020,12,14,14:15:00
128,H000785117-1,T24LQ-61NN-7V-1800NT-04C00-N5N,2020-12-11 14:15:00,2,25,T,24,L,Q,6,1,N,N,7,V,1800,N,T,4,2020,12,14,14:15:00
129,H000798564-1,B24LW-61NN-7V-1000ST-NNNNN-NXL,2020-12-11 23:00:00,1,25,B,24,L,W,6,1,N,N,7,V,1000,S,T,4,2020,12,23,23:00:00
130,H000798564-1,I24LW-61NN-7V-1000ST-NNNNN-NXN,2020-12-11 23:00:00,1,25,I,24,L,W,6,1,N,N,7,V,1000,S,T,4,2020,12,23,23:00:00
131,H000798564-1,I24LW-61NN-7V-1000ST-NNNNN-NXN,2020-12-11 23:00:00,1,25,I,24,L,W,6,1,N,N,7,V,1000,S,T,4,2020,12,23,23:00:00
132,H000798564-1,T24LW-61NN-7V-1000ST-NNNNN-NXN,2020-12-11 23:00:00,1,25,T,24,L,W,6,1,N,N,7,V,1000,S,T,4,2020,12,23,23:00:00
133,H000798564-1,B24LW-61NN-7V-1000ST-NNNNN-NXL,2020-12-11 23:00:00,1,25,B,24,L,W,6,1,N,N,7,V,1000,S,T,4,2020,12,23,23:00:00
134,H000798564-1,I24LW-61NN-7V-1000ST-NNNNN-NXN,2020-12-11 23:00:00,1,25,I,24,L,W,6,1,N,N,7,V,1000,S,T,4,2020,12,23,23:00:00
135,H000798564-1,I24LW-61NN-7V-1000ST-NNNNN-NXN,2020-12-11 23:00:00,1,25,I,24,L,W,6,1,N,N,7,V,1000,S,T,4,2020,12,23,23:00:00
136,H000798564-1,T24LW-61NN-7V-1000ST-NNNNN-NXN,2020-12-11 23:00:00,1,25,T,24,L,W,6,1,N,N,7,V,1000,S,T,4,2020,12,23,23:00:00
137,H000798564-1,B24LW-61NN-7V-1000ST-NNNNN-NXL,2020-12-11 23:00:00,1,25,B,24,L,W,6,1,N,N,7,V,1000,S,T,4,2020,12,23,23:00:00
138,H000798564-1,I24LW-61NN-7V-1000ST-NNNNN-NXN,2020-12-11 23:00:00,1,25,I,24,L,W,6,1,N,N,7,V,1000,S,T,4,2020,12,23,23:00:00
139,H000798564-1,I24LW-61NN-7V-1000ST-NNNNN-NXN,2020-12-11 23:00:00,1,25,I,24,L,W,6,1,N,N,7,V,1000,S,T,4,2020,12,23,23:00:00
140,H000798564-1,T24LW-61NN-7V-1000ST-NNNNN-NXN,2020-12-11 23:00:00,1,25,T,24,L,W,6,1,N,N,7,V,1000,S,T,4,2020,12,23,23:00:00
141,H000798564-1,B24LW-61NN-7V-1000ST-NNNNN-NXL,2020-12-11 23:00:00,1,25,B,24,L,W,6,1,N,N,7,V,1000,S,T,4,2020,12,23,23:00:00
142,H000798564-1,I24LW-61NN-7V-1000ST-NNNNN-NXN,2020-12-11 23:00:00,1,25,I,24,L,W,6,1,N,N,7,V,1000,S,T,4,2020,12,23,23:00:00
